Alexandre Pires;Pagode;R$ 115.000,00;0Rrl4hJQjRAbGtiEwAqS5N
Anitta;Funk;R$ 280.000,00;7FNnA9vBm6EKceENgCGRMb
Armandinho_e_Banda;Reggae;R$ 50.000,00;3h7RaVXBvdSNa7LXQtVYqH
Banda EVA;Axé;R$ 88.000,00;1wqkMc837HWUwdC8sOZ7lZ
Bell Marques;Axé;R$ 340.000,00;63LUqR0xvuZ6Es3AF6BcZh
Belo;Samba;R$ 100.000,00;7hLjkyL9Pz9xtQNahzJZki
Bonde do Tigrão;Funk;R$ 25.000,00;1VQMltQ5m8iFvRCpW2n5HR
Bruninho e Davi;Sertanejo;R$ 90.000,00;5exy2LREZrJ6aRzj1SwXQX
Bruno e Marrone;Sertanejo;R$ 220.000,00;5JXhkyafynxCvxtov7C1PV
Buchecha;Funk;R$ 58.000,00;1tTxuCABSKH8wBmE2Y7Odb
Capital Inicial;Pop Rock;R$ 150.000,00;4Z0yuwHVJBROVZqFpTIr0d
Cesar Menotti e Fabiano;Sertanejo;R$ 220.000,00;08yxJfM5RnFAjJvMJIFnvh
Chemical Surf;Eletronico;R$ 40.000,00;7LgAW1ZiEd8f3HtCMGFaGx
Chiclete com Banana;Axé;R$ 75.000,00;1bhqpMFFgoa0NTz82BprgL
Claudia Leite;Axé;R$ 240.000,00;2OjoIDVPQKT9B7loZbPEfp
CPM22;Pop Rock;R$ 38.000,00;2Jw4Lrfjnyv2QsDoBgnrAP
Dennis DJ;Funk;R$ 260.000,00;6xlRSRMLgZbsSNd0BMobwy
Diogo Nogueira;Samba;R$ 105.000,00;57xRtfFlssbpntpRQOBodd
DJ Alok;Eletronico;R$ 280.000,00;0NGAZxHanS9e0iNHpR8f2W
DJ Felguk;Eletronico;R$ 50.000,00;3eH2apcLhzhnr3eWmH3VBf
DJ GBR;Funk;R$ 10.000,00;0IhzJFf4QBEz0ifqLwScKV
Dj Gui Boratto;Eletronico;R$ 60.000,00;27LGatz1m8aJ7ZaVVWEphc
DJ Henrique de Ferraz;Funk;R$ 8.000,00;5crFHCCb7j1zkIiIUpN2In
DJ Marina Diniz;Eletronico;R$ 15.000,00;7si2hPcnjzQsHJHIa8pNqy
DJ Tezinho;Funk;R$ 6.000,00;1vQmEkUObXvubDjIJb4Urv
DJ Vintage Culture;Eletronico;R$ 300.000,00;28uJnu5EsrGml2tBd7y8ts
ExaltaSamba;Samba;R$ 28.000,00;6VPRGmbZ0dupZrbwwEDRRw
Falamansa;Forró;R$ 58.000,00;6uTK3YD9CT3pLx2yEfVmXk
Fernando e Sorocaba;Sertanejo;R$ 280.000,00;1oSgjdbgLYULVmEBojPRw8
Gabriel O Pensador;Pop Rock;R$ 40.000,00;5BWqFYIPTnFx3OPWOoJvmD
Gustavo Lima;Sertanejo;R$ 510.000,00;7MiDcPa6UiV3In7lIM71IN
