Adriano Pagani;Eletronico;6000;4Dxm9Aljpqdamg0m4JMyCZ;;;;;;;;;;;
Alexandre Pires;Samba;115000;0Rrl4hJQjRAbGtiEwAqS5N;;;;;;;;;;;
André Lellis;Axe;40000;1oO9n7tDdiuSCpv4aD7NDw;;;;;;;;;;;
Anitta;Funk;280000;7FNnA9vBm6EKceENgCGRMb;;;;;;;;;;;
Armandinho_e_Banda;Hip Hop;50000;3h7RaVXBvdSNa7LXQtVYqH;;;;;;;;;;;
Banda EVA;Axe;88000;1wqkMc837HWUwdC8sOZ7lZ;;;;;;;;;;;
Banda EVA;Axe;88000;1wqkMc837HWUwdC8sOZ7lZ;;;;;;;;;;;
Batom na Cueca;Axe;28000;6ybpRWq8b5LjXt1ABTVv83;;;;;;;;;;;
Bell Marques;Axe;340000;63LUqR0xvuZ6Es3AF6BcZh;;;;;;;;;;;
Belo;Samba;100000;7hLjkyL9Pz9xtQNahzJZki;;;;;;;;;;;
Blitz;Pop Rock;70000;1POsQml4E21Ku75BirHFMQ;;;;;;;;;;;
Bonde do Tigrão;Funk;25000;1VQMltQ5m8iFvRCpW2n5HR;;;;;;;;;;;
Bruna Viola;Sertanejo;50000;1FSqw66rqtbCLDgy9D751C;;;;;;;;;;;
Bruninho e Davi;Sertanejo;90000;5exy2LREZrJ6aRzj1SwXQX;;;;;;;;;;;
Bruno e Marrone;Sertanejo;220000;5JXhkyafynxCvxtov7C1PV;;;;;;;;;;;
Buchecha;Funk;58000;1tTxuCABSKH8wBmE2Y7Odb;;;;;;;;;;;
Caio Cesar e Diego;Sertanejo;20000;4wOPZfAYFR2KPBgzhLTslV;;;;;;;;;;;
Capital Inicial;Pop Rock;150000;4Z0yuwHVJBROVZqFpTIr0d;;;;;;;;;;;
Carlos & Jader;Sertanejo;55000;473bilpSqOHFCBbT1nk83z;;;;;;;;;;;
Cesar Menotti e Fabiano;Sertanejo;220000;08yxJfM5RnFAjJvMJIFnvh;;;;;;;;;;;
Cheiro de Amor;Axe;60000;2elJHGuwL43ahofvuD6KGs;;;;;;;;;;;
Chemical Surf;Eletronico;40000;7LgAW1ZiEd8f3HtCMGFaGx;;;;;;;;;;;
Chiclete com Banana;Axe;75000;1bhqpMFFgoa0NTz82BprgL;;;;;;;;;;;
Claudia Leite;Axe;240000;2OjoIDVPQKT9B7loZbPEfp;;;;;;;;;;;
CPM22;Pop Rock;38000;2Jw4Lrfjnyv2QsDoBgnrAP;;;;;;;;;;;
Dennis DJ;Funk;260000;6xlRSRMLgZbsSNd0BMobwy;;;;;;;;;;;
Diogo Nogueira;Samba;105000;57xRtfFlssbpntpRQOBodd;;;;;;;;;;;
DJ Alok;Eletronico;280000;0NGAZxHanS9e0iNHpR8f2W;;;;;;;;;;;
DJ Felguk;Eletronico;50000;3eH2apcLhzhnr3eWmH3VBf;;;;;;;;;;;
DJ GBR;Funk;10000;0IhzJFf4QBEz0ifqLwScKV;;;;;;;;;;;
